Pressure,Temperature,Salinity
105.7,10.433,35.4
107.6,10.432,35.399
109.5,10.425,35.398
111.4,10.425,35.399
113.3,10.426,35.397
115.3,10.424,35.398
117.2,10.422,35.398
119.2,10.42,35.4
121.3,10.416,35.396
123.4,10.413,35.397
125.5,10.414,35.396
127.6,10.415,35.396
129.7,10.413,35.396
131.8,10.41,35.397
133.4,10.415,35.394
135.0,10.414,35.397
137.1,10.414,35.397
139.3,10.415,35.396
141.4,10.412,35.396
143.6,10.412,35.397
145.8,10.41,35.396
147.5,10.411,35.395
149.1,10.4,35.394
151.3,10.394,35.393
153.4,10.391,35.394
155.6,10.39,35.392
157.7,10.392,35.392
159.9,10.391,35.394
161.5,10.385,35.396
163.1,10.382,35.392
165.2,10.378,35.394
167.4,10.377,35.392
169.6,10.376,35.391
171.8,10.376,35.393
173.5,10.373,35.396
175.0,10.371,35.392
177.2,10.372,35.392
179.3,10.372,35.391
181.4,10.356,35.392
183.5,10.351,35.39
185.4,10.347,35.39
187.4,10.343,35.393
189.4,10.331,35.392
191.3,10.307,35.388
193.3,10.307,35.388
195.3,10.308,35.388
197.4,10.305,35.388
199.5,10.302,35.386
201.6,10.292,35.389
203.6,10.293,35.385
205.3,10.289,35.385
207.5,10.289,35.386
209.5,10.284,35.385
211.4,10.283,35.384
213.3,10.271,35.383
215.3,10.239,35.381
217.6,10.239,35.38
219.4,10.242,35.382
221.2,10.231,35.38
223.1,10.234,35.381
225.4,10.239,35.38
227.5,10.246,35.38
229.0,10.244,35.382
231.4,10.242,35.381
233.9,10.239,35.38
235.8,10.243,35.381
237.7,10.241,35.381
239.6,10.237,35.38
241.6,10.23,35.38
243.7,10.232,35.379
245.7,10.235,35.38
247.6,10.235,35.381
249.5,10.235,35.379
251.4,10.239,35.381
253.3,10.236,35.38
255.2,10.237,35.38
257.1,10.239,35.38
259.2,10.242,35.38
261.3,10.242,35.38
263.4,10.241,35.381
265.6,10.242,35.381
267.8,10.238,35.376
269.9,10.239,35.38
271.4,10.241,35.38
273.0,10.227,35.381
275.1,10.22,35.378
277.1,10.219,35.379
279.2,10.218,35.378
281.2,10.218,35.378
283.3,10.218,35.378
285.3,10.218,35.378
287.3,10.215,35.377
289.4,10.215,35.377
291.4,10.215,35.377
293.5,10.204,35.375
295.6,10.198,35.374
297.7,10.196,35.375
299.8,10.193,35.378
301.9,10.187,35.375
303.5,10.186,35.374
305.1,10.185,35.373
307.2,10.186,35.372
309.3,10.175,35.378
311.5,10.174,35.371
313.7,10.169,35.372
315.4,10.169,35.373
317.0,10.162,35.372
319.1,10.154,35.37
321.3,10.128,35.368
323.4,10.123,35.368
325.5,10.119,35.367
327.6,10.114,35.367
329.7,10.111,35.366
331.8,10.108,35.367
333.8,10.107,35.367
335.8,10.106,35.367
337.8,10.101,35.366
339.7,10.097,35.367
341.6,10.088,35.366
343.6,10.082,35.366
345.5,10.078,35.365
347.4,10.077,35.365
349.4,10.075,35.364
351.3,10.072,35.364
353.2,10.072,35.364
355.2,10.071,35.364
357.1,10.071,35.364
359.1,10.071,35.364
361.1,10.072,35.364
363.0,10.071,35.364
365.0,10.068,35.363
367.1,10.065,35.364
369.0,10.061,35.364
371.0,10.06,35.363
373.0,10.061,35.363
374.9,10.061,35.363
377.4,10.059,35.363
379.9,10.058,35.363
381.9,10.057,35.363
383.9,10.058,35.363
385.9,10.056,35.363
387.9,10.054,35.363
389.9,10.052,35.362
391.9,10.051,35.362
393.9,10.047,35.362
395.4,10.047,35.361
397.0,10.043,35.362
399.0,10.04,35.361
401.1,10.041,35.36
403.1,10.038,35.36
405.2,10.034,35.36
407.4,10.029,35.36
409.5,10.028,35.359
411.7,10.025,35.358
413.8,10.02,35.359
415.4,10.015,35.358
417.0,10.014,35.358
419.1,10.012,35.358
421.2,10.011,35.357
423.3,10.009,35.357
425.3,10.007,35.358
427.3,10.009,35.357
429.4,10.005,35.356
431.4,10.003,35.356
433.4,10.002,35.357
435.4,10.002,35.357
437.5,9.997,35.356
439.6,9.99,35.355
441.6,9.991,35.354
443.8,9.99,35.354
445.9,9.99,35.355
447.5,9.991,35.356
449.0,9.989,35.355
451.1,9.984,35.355
453.2,9.981,35.356
455.2,9.981,35.356
457.3,9.981,35.356
459.4,9.98,35.357
461.4,9.979,35.357
463.5,9.98,35.357
465.5,9.979,35.356
467.6,9.966,35.356
469.7,9.964,35.356
471.8,9.955,35.353
473.4,9.956,35.354
475.0,9.95,35.353
477.1,9.951,35.353
479.4,9.955,35.355
481.3,9.955,35.355
483.3,9.955,35.356
485.3,9.953,35.355
487.4,9.952,35.354
489.4,9.95,35.356
491.5,9.95,35.355
493.5,9.947,35.355
495.5,9.946,35.354
497.6,9.943,35.354
499.3,9.94,35.354
502.7,9.932,35.352
507.9,9.921,35.351
512.8,9.916,35.35
517.6,9.906,35.35
522.8,9.904,35.348
528.1,9.899,35.347
533.1,9.898,35.348
538.0,9.899,35.348
543.0,9.908,35.35
547.9,9.911,35.351
553.1,9.911,35.351
558.0,9.912,35.352
562.8,9.907,35.352
567.7,9.903,35.352
572.7,9.897,35.352
577.7,9.894,35.351
582.7,9.893,35.351
587.7,9.893,35.351
592.6,9.892,35.352
597.6,9.891,35.352
602.9,9.888,35.352
608.3,9.885,35.352
613.1,9.88,35.352
618.0,9.88,35.352
623.1,9.876,35.351
627.9,9.85,35.346
632.7,9.81,35.34
638.0,9.799,35.339
642.9,9.785,35.337
647.9,9.762,35.331
652.8,9.736,35.328
657.7,9.726,35.327
662.9,9.701,35.322
668.1,9.679,35.319
672.9,9.644,35.313
677.9,9.639,35.313
682.9,9.646,35.314
688.0,9.658,35.318
693.2,9.661,35.32
698.0,9.642,35.318
702.8,9.652,35.322
707.8,9.608,35.318
712.7,9.584,35.312
717.8,9.505,35.299
722.7,9.498,35.298
728.1,9.496,35.3
733.0,9.46,35.295
737.9,9.444,35.294
742.9,9.412,35.291
747.6,9.36,35.284
752.8,9.287,35.274
757.9,9.193,35.262
762.9,9.123,35.256
767.8,9.06,35.252
772.8,9.019,35.249
777.7,8.957,35.243
782.6,8.866,35.231
787.9,8.781,35.222
793.3,8.731,35.227
798.0,8.727,35.23
802.8,8.753,35.24
808.0,8.763,35.245
812.9,8.738,35.246
817.9,8.559,35.22
822.9,8.517,35.222
827.9,8.494,35.226
833.0,8.48,35.225
838.1,8.457,35.222
843.3,8.432,35.22
848.0,8.399,35.217
852.9,8.315,35.209
858.0,8.217,35.196
863.1,8.182,35.192
868.3,8.173,35.192
873.4,8.113,35.188
878.0,8.051,35.177
882.7,8.02,35.177
888.2,7.989,35.181
893.1,7.941,35.179
898.1,7.983,35.195
903.1,8.016,35.209
908.1,8.04,35.218
913.2,8.053,35.222
917.7,8.068,35.233
922.7,8.092,35.245
927.7,8.001,35.234
932.6,7.976,35.23
937.9,7.917,35.227
943.1,7.846,35.22
947.9,7.806,35.216
952.6,7.784,35.216
958.0,7.745,35.21
963.2,7.682,35.207
967.9,7.636,35.206
972.6,7.558,35.199
977.8,7.513,35.195
983.0,7.414,35.188
988.0,7.363,35.187
993.1,7.333,35.186
998.1,7.314,35.184
1003.1,7.232,35.175
1008.1,7.17,35.173
1013.0,7.156,35.176
1018.0,7.152,35.18
1023.2,7.107,35.175
1028.0,7.074,35.175
1032.9,7.036,35.173
1037.9,7.016,35.173
1043.0,6.981,35.172
1047.9,6.949,35.17
1052.7,6.94,35.17
1057.8,6.919,35.172
1063.0,6.91,35.172
1068.3,6.9,35.173
1073.1,6.883,35.171
1077.9,6.849,35.172
1082.8,6.829,35.171
1087.6,6.787,35.169
1092.6,6.722,35.166
1097.6,6.686,35.164
1102.6,6.645,35.16
1107.7,6.625,35.158
1112.7,6.592,35.156
1117.9,6.516,35.152
1123.2,6.51,35.152
1127.9,6.497,35.151
1132.7,6.471,35.149
1138.0,6.401,35.144
1142.8,6.36,35.142
1147.7,6.339,35.14
1153.1,6.301,35.138
1157.8,6.263,35.135
1162.5,6.249,35.134
1167.8,6.224,35.131
1172.9,6.172,35.127
1178.2,6.124,35.125
1183.1,6.107,35.122
1188.0,6.083,35.12
1192.9,6.059,35.119
1197.8,6.051,35.12
1203.2,6.042,35.118
1208.1,6.018,35.116
1212.8,5.977,35.113
1218.1,5.936,35.11
1223.3,5.897,35.106
1228.1,5.859,35.102
1232.7,5.82,35.099
1237.7,5.768,35.095
1242.9,5.734,35.092
1248.2,5.68,35.087
1253.1,5.633,35.082
1258.2,5.587,35.079
1262.9,5.549,35.076
1267.7,5.539,35.074
1272.8,5.529,35.074
1278.0,5.497,35.071
1283.1,5.489,35.069
1288.1,5.477,35.069
1292.9,5.458,35.067
1297.8,5.436,35.065
1303.1,5.417,35.063
1308.2,5.401,35.062
1312.8,5.373,35.061
1317.8,5.345,35.056
1322.9,5.323,35.056
1327.6,5.28,35.051
1332.9,5.231,35.046
1338.1,5.184,35.041
1342.9,5.166,35.039
1347.8,5.15,35.037
1352.8,5.113,35.037
1358.0,5.076,35.032
1363.2,5.035,35.028
1368.0,5.024,35.027
1372.8,5.016,35.026
1378.2,4.989,35.024
1383.1,4.973,35.022
1387.9,4.94,35.018
1393.1,4.91,35.015
1397.9,4.896,35.014
1402.6,4.89,35.014
1408.0,4.851,35.011
1412.9,4.824,35.008
1417.8,4.81,35.007
1423.2,4.787,35.005
1428.4,4.745,35.001
1433.2,4.714,34.998
1438.1,4.683,34.995
1443.1,4.656,34.993
1448.1,4.634,34.99
1453.2,4.615,34.988
1458.2,4.592,34.985
1463.3,4.586,34.984
1467.9,4.576,34.983
1472.6,4.563,34.982
1477.7,4.531,34.978
1482.9,4.509,34.977
1488.2,4.488,34.975
1493.0,4.473,34.974
1497.9,4.46,34.972
1503.1,4.441,34.97
1508.3,4.425,34.969
1512.9,4.409,34.969
1517.6,4.402,34.968
1522.8,4.394,34.969
1528.0,4.377,34.968
1532.9,4.363,34.967
1537.8,4.345,34.966
1543.1,4.33,34.965
1548.0,4.325,34.964
1552.9,4.319,34.963
1557.9,4.298,34.962
1562.8,4.276,34.959
1567.8,4.254,34.957
1572.7,4.243,34.956
1577.7,4.225,34.955
1582.8,4.22,34.954
1587.8,4.206,34.953
1592.7,4.187,34.95
1597.8,4.174,34.95
1602.7,4.163,34.949
1607.7,4.148,34.948
1612.8,4.145,34.949
1618.0,4.145,34.948
1622.9,4.174,34.956
1627.8,4.152,34.954
1632.7,4.149,34.953
1637.7,4.14,34.953
1642.8,4.135,34.953
1647.8,4.127,34.953
1652.8,4.108,34.951
1657.8,4.092,34.95
1662.8,4.082,34.949
1668.0,4.067,34.948
1673.2,4.06,34.948
1678.1,4.052,34.947
1683.1,4.048,34.948
1688.2,4.044,34.947
1693.1,4.043,34.948
1697.9,4.038,34.948
1702.9,4.033,34.948
1707.9,4.026,34.947
1713.0,4.016,34.946
1717.8,4.007,34.946
1722.6,3.997,34.946
1727.6,3.984,34.945
1732.5,3.978,34.945
1737.5,3.973,34.945
1742.5,3.965,34.945
1747.6,3.951,34.944
1752.7,3.946,34.944
1757.7,3.944,34.945
1762.9,3.934,34.945
1768.0,3.923,34.944
1773.2,3.908,34.943
1778.3,3.905,34.943
1782.9,3.904,34.943
1787.6,3.896,34.942
1792.7,3.885,34.941
1797.9,3.874,34.941
1803.1,3.863,34.94
1808.3,3.851,34.939
1813.0,3.843,34.94
1817.7,3.838,34.939
1822.8,3.828,34.939
1828.0,3.821,34.939
1833.2,3.812,34.939
1837.9,3.805,34.938
1842.6,3.796,34.938
1847.7,3.789,34.937
1853.0,3.782,34.937
1858.2,3.775,34.937
1863.0,3.766,34.937
1867.8,3.754,34.937
1872.7,3.75,34.936
1877.6,3.742,34.936
1882.9,3.739,34.936
1888.3,3.734,34.936
1893.3,3.724,34.936
1898.3,3.718,34.935
1902.9,3.71,34.935
1907.5,3.704,34.935
1912.6,3.697,34.935
1917.7,3.692,34.935
1922.8,3.69,34.934
1927.9,3.685,34.935
1933.0,3.68,34.934
1938.2,3.676,34.934
1942.9,3.67,34.934
1947.7,3.661,34.934
1952.9,3.652,34.934
1958.2,3.645,34.934
1963.0,3.641,34.933
1967.8,3.631,34.933
1973.0,3.625,34.933
1977.9,3.617,34.933
1982.7,3.607,34.933
1987.8,3.596,34.932
1992.8,3.588,34.933
1997.9,3.58,34.933
2002.9,3.569,34.932
2008.2,3.562,34.932
