Pressure,Temperature,Salinity
2.8,10.399,35.395
3.9,10.397,35.394
5.1,10.401,35.394
6.0,10.394,35.394
6.9,10.39,35.394
7.7,10.391,35.394
9.0,10.394,35.393
10.2,10.408,35.393
11.0,10.393,35.393
11.9,10.391,35.394
12.8,10.393,35.392
13.7,10.399,35.394
14.5,10.398,35.395
15.9,10.393,35.394
17.3,10.397,35.396
18.2,10.391,35.398
19.0,10.406,35.396
19.9,10.418,35.397
20.8,10.408,35.397
21.9,10.396,35.394
23.0,10.393,35.395
24.1,10.426,35.386
25.2,10.426,35.397
26.2,10.43,35.401
27.1,10.428,35.401
28.2,10.425,35.4
29.2,10.429,35.398
30.2,10.428,35.4
31.3,10.429,35.397
32.3,10.429,35.398
33.3,10.428,35.4
34.3,10.425,35.398
35.2,10.426,35.398
36.2,10.427,35.4
37.2,10.426,35.399
38.2,10.43,35.397
39.2,10.43,35.398
40.2,10.427,35.4
41.2,10.429,35.399
42.2,10.43,35.398
43.3,10.429,35.399
44.3,10.43,35.398
45.4,10.43,35.398
46.5,10.429,35.4
47.5,10.429,35.399
48.6,10.431,35.399
49.7,10.431,35.4
50.8,10.429,35.4
51.8,10.432,35.398
52.9,10.429,35.4
53.9,10.433,35.399
54.9,10.43,35.399
55.9,10.43,35.398
56.9,10.431,35.399
57.9,10.428,35.4
58.9,10.431,35.399
59.9,10.434,35.398
61.0,10.434,35.4
61.9,10.438,35.399
62.9,10.437,35.399
63.9,10.435,35.399
64.9,10.433,35.399
65.9,10.437,35.398
66.9,10.438,35.399
67.8,10.437,35.4
68.8,10.438,35.399
69.8,10.435,35.401
70.8,10.433,35.4
71.8,10.437,35.4
72.8,10.437,35.399
73.7,10.437,35.4
74.7,10.436,35.399
75.7,10.437,35.399
76.7,10.435,35.4
77.7,10.436,35.4
78.7,10.435,35.399
79.7,10.438,35.401
80.7,10.438,35.398
81.7,10.437,35.4
82.7,10.438,35.4
83.8,10.439,35.399
84.8,10.438,35.4
85.9,10.438,35.4
86.9,10.439,35.399
88.0,10.438,35.4
89.0,10.437,35.401
90.0,10.438,35.399
91.1,10.438,35.4
92.1,10.437,35.4
93.1,10.437,35.4
94.1,10.437,35.398
95.2,10.431,35.399
96.2,10.433,35.401
97.3,10.435,35.399
98.3,10.433,35.4
99.3,10.431,35.399
100.3,10.435,35.399
101.8,10.433,35.4
103.8,10.434,35.399
